Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
72hrs,,,,9,,1,1,2
Armond,72hrs,Shotgun,10,9,22:49,1,2,7
Ghoul,Armond,Rifle,3,9,22:40,1,3,4
Funkbomb,Ghoul,Shotgun,4,9,22:38,1,4,1
Aspect,Ghoul,Shotgun,3,9,22:31,1,5,7
Saf,Aspect,Shotgun,3,9,22:30,1,6,3
Anthony,Ghoul,Rifle,1,8,22:19,1,7,1
Kyzui,Ghoul,Smg,17,8,22:06,1,8,3
Sofa,Armond,Shotgun,8,8,22:04,1,9,1
Legedien,Saf,Rifle,6,8,22:02,1,10,0
Zexrow,72hrs,GasGrenade,31,8,22:00,1,11,1
LeNain,Anthony,Shotgun,4,7,21:33,1,12,2
Dmo,Sofa,Rifle,13,7,21:32,1,13,2
Vicaros,Aspect,Shotgun,10,7,21:25,1,14,1
Tyler15,Vicaros,Shotgun,6,7,21:14,1,15,3
Tocata,Saf,Rifle,25,7,21:11,1,16,4
Saint,Tyler15,Shotgun,7,7,21:10,1,17,0
Kevie1,Armond,Shotgun,6,7,21:09,1,18,3
Flossen,Armond,Trap,2,7,21:08,1,19,0
Ceice,,OutsideSafeZone,,7,21:05,1,20,0
Vivid,Armond,Shotgun,6,7,21:01,1,21,1
Tfue,Tocata,Smg,1,7,20:55,1,22,2
Vinny1x,Zexrow,Shotgun,1,7,20:47,1,23,3
MmateosS,Aspect,Smg,1,7,20:46,1,24,0
frostyZK,Vinny1x,Shotgun,5,6,20:45,1,25,3
Blind,frostyZK,Shotgun,9,6,20:44,1,26,2
TriggySoars,Aspect,Shotgun,4,6,20:29,1,27,1
Pearl,frostyZK,Smg,6,6,20:28,1,28,1
Jerm,Tocata,Smg,3,6,20:27,1,29,2
Snood,TriggySoars,Shotgun,1,6,20:08,1,30,0
Pate1k,Dmo,Sniper,32,6,19:53,1,31,1
Zayt,Funkbomb,Shotgun,4,6,19:42,1,32,0
Ronin,Jerm,Shotgun,5,6,19:24,1,33,0
XXIF,LeNain,Rifle,36,6,19:20,1,34,2
Fulmer,XXIF,Shotgun,4,5,19:08,1,35,2
Ronaldo,Tfue,Trap,6,5,18:56,1,36,1
Psalm,Kyzui,Rifle,53,5,18:51,1,37,0
Bizzle,Fulmer,Shotgun,6,5,18:51,1,38,1
Lanjok,LeNain,Sniper,75,5,18:49,1,39,0
Shmecked,Blind,Rifle,33,5,18:44,1,40,1
Lyricen,Armond,Rifle,18,5,18:43,1,41,0
BlooTea,Kevie1,Rifle,32,5,18:34,1,42,0
Kiwiface,,FallDamage,,5,18:33,1,43,0
Sean,Fulmer,Shotgun,6,5,18:32,1,44,2
JDW,,OutsideSafeZone,,5,18:18,1,45,0
Daxor,Ronaldo,Rifle,18,5,18:10,1,46,0
Morgausse,Dmo,Rifle,3,5,17:58,1,47,0
dafps,Vinny1x,Rifle,12,5,17:30,1,48,1
Monstcr,Vinny1x,Rifle,22,4,17:19,1,49,1
Xycik,Tfue,Shotgun,3,4,16:58,1,50,1
Jaomock,Vivid,Smg,13,4,16:53,1,51,0
clarityG,Armond,Rifle,5,4,16:50,1,52,0
CBKFlame,XXIF,Rifle,39,4,16:42,1,53,0
Persecute,Sean,Smg,2,4,16:30,1,54,1
Jacobaqi,dafps,Rifle,33,4,16:29,1,55,0
Domentos,Tyler15,GasGrenade,26,4,16:21,1,56,1
Devious,Monstcr,Shotgun,4,4,16:15,1,57,2
Dopaitv,frostyZK,Rifle,19,4,15:59,1,58,0
Vide,Domentos,Shotgun,3,4,15:47,1,59,0
roatdw,Pate1k,Rifle,5,3,14:42,1,60,5
Dassiren,Kyzui,Rifle,57,3,14:13,1,61,3
tickrss,Pearl,Rifle,137,3,13:41,1,62,0
Bowman,Shmecked,Shotgun,1,3,13:33,1,63,0
Tendons,,InstantEnvironmental,,3,12:59,1,64,0
Carose,Tocata,Shotgun,1,3,12:58,1,65,0
Kayuun,Devious,Shotgun,2,3,12:56,1,66,0
Aeghis,roatdw,Shotgun,7,3,12:21,1,67,1
OutLit,Aspect,Grenade,20,3,12:16,1,68,0
JCudi,Saf,Rifle,67,3,12:13,1,69,0
Poach,Devious,Pistol,19,2,11:53,1,70,0
ItsHighSky,Kyzui,Rifle,2,2,11:52,1,71,0
Cloakzy,Dassiren,Rifle,50,2,11:30,1,72,0
Hysteria,Aspect,Sniper,28,2,10:47,1,73,0
Thwifo,Bizzle,Sniper,107,2,10:38,1,74,0
Aydan,roatdw,Rifle,139,2,10:37,1,75,2
Dark,Dassiren,Rifle,45,2,10:36,1,76,0
Slobings,roatdw,Rifle,147,2,10:26,1,77,2
Overpeek,Aspect,Shotgun,7,2,9:53,1,78,0
Baysoldier,Sean,GasGrenade,28,2,9:32,1,79,0
McDonkle,Aydan,Sniper,155,2,9:28,1,80,1
Butter,Aeghis,Shotgun,7,2,9:12,1,81,0
Harmful,Jerm,GrenadeLauncher,59,2,8:19,1,82,1
Chap,Harmful,Rifle,18,2,8:10,1,83,0
Dvces,Slobings,Rifle,6,2,8:04,1,84,0
Nate Hill,roatdw,Shotgun,3,2,7:57,1,85,0
Naga Ops,,OutsideSafeZone,,1,7:36,1,86,0
Aipha,Aydan,Sniper,109,1,7:22,1,87,0
Grenades,Slobings,Shotgun,5,1,6:41,1,88,0
Povsy,Persecute,Shotgun,3,1,5:49,1,89,0
Punisher,Dassiren,Smg,4,1,5:27,1,90,0
Posick,Kevie1,Shotgun,12,1,5:24,1,91,0
Mad_Ruski,roatdw,Trap,4,1,4:13,1,92,0
jaeyung,Blind,Rifle,4,1,3:48,1,93,1
ThomDez,Xycik,FallDamage,9,1,3:40,1,94,0
JTruth,McDonkle,Smg,4,1,3:37,1,95,0
Nolanlul,Tyler15,FallDamage,46,1,3:26,1,96,0
ImMarksman,jaeyung,Shotgun,3,1,2:36,1,97,0
Nistic,Kevie1,Rifle,5,1,1:36,1,98,0
Nickmercs,Tocata,Sniper,109,0,1:29,1,99,1
Sheep,Nickmercs,Shotgun,2,0,1:17,1,100,0
Pearl,,,,9,,2,1,5
Pate1k,Pearl,Shotgun,9,9,23:31,2,2,5
Kyzui,Pate1k,Shotgun,5,9,22:48,2,3,2
